ID,Year,UA,obesity,popCount,10301,"Violent crime - violence offences per 1,000 population",22401,90356,90360,90637,92309,92310,92899,92924,93111,93350,93351
69,2015,EM13,242,1217,4.738309093,14.78277239,2041.158914,11.68567901,19.33015999,1.510748678,20.72781428,18.41447775,23.27643482,8.590335493,5.473854236,11.91991927,350.2926639
70,2017,EM13,312,1366,4.901036382,23.06098857,1740.788379,9.164428176,27.58817323,2.735700509,20.6085821,18.7616333,27.42617239,8.803345827,5.848276731,16.19099622,380.156321
71,2011,EM14,595,2677,5.795200656,18.44008992,1959.192418,15.01978355,19.32982798,1.009873338,20.09649667,11.64881196,30.31438975,10.53700765,4.492260127,8.055611558,336.9238553
72,2012,EM14,548,2559,5.984349144,18.73502158,2211.112442,18.09315619,32.2851796,1.309010112,19.97204731,11.65751812,31.11113936,10.28099144,4.542857762,13.34361159,338.1875735
73,2013,EM14,638,2805,5.050709572,19.46514424,2227.852979,13.82102308,13.90301625,1.279587773,20.10051588,11.73146174,31.60910787,10.66521766,4.694650665,4.699765387,343.6415153
74,2014,EM14,648,2876,4.888040697,21.93778879,2201.510548,12.38775844,34.35120797,2.399341362,20.21280756,11.6883207,29.11926532,10.57506685,5.099431741,4.49638077,334.2966516
75,2015,EM14,701,2984,4.728464499,22.61413489,2465.867135,15.60285459,21.02495585,2.528471522,20.20651935,11.5909471,28.72089052,9.464081671,5.220866063,12.02161158,342.7103545
76,2011,EM15,20,147,4.252544367,4.098573608,1878.539686,13.42208909,11.9415454,0.639067965,20.89410212,21.01679083,17.66598961,8.770738084,8.185887443,28.08899628,406.6611481
77,2012,EM15,41,289,4.311662305,5.082685632,2118.736007,11.77197943,-3.655649842,0.456348078,20.58242586,22.04696272,20.15583216,8.75781613,8.793059056,24.73315011,426.2155249
78,2013,EM15,46,321,3.718661944,5.313755564,1931.647864,9.168518142,3.371989721,0.355910302,20.16344876,22.44749174,18.06436442,9.30154772,8.752580949,29.6143809,419.3315861
79,2014,EM15,42,315,3.404659561,4.897831261,1745.324483,10.45366419,29.86099522,0.951886354,19.70061584,22.92878484,18.26355182,9.131846123,8.742461422,24.83484242,404.3665018
80,2015,EM15,54,345,3.190588043,6.379747333,1824.281811,11.16828916,-0.656437203,1.016837239,19.73196446,23.58383117,19.98984265,8.745297987,8.459114669,31.24145783,452.7203519
81,2016,EM15,39,342,3.109155391,6.825944761,1518.771802,10.15020661,6.538882323,0.807714554,19.41412298,23.97617204,16.30487569,9.409870036,8.94485196,16.08930391,408.2574237
82,2017,EM15,54,345,3.468504996,8.514320639,1724.809348,7.882916212,48.8375015,1.230122093,19.23195344,24.33164435,17.0020316,8.901774772,8.965091014,27.68222705,477.4626246
83,2011,EM16,171,990,5.259627318,13.04539814,1469.353144,13.10841934,-0.621697185,0.888596923,21.98286062,16.03443041,14.87736596,9.887679471,5.382778494,12.42838081,392.693736
84,2012,EM16,194,1024,5.653971742,12.43355692,1484.120966,11.77139298,18.32576135,1.017223371,21.98512395,16.64939559,18.16395812,9.447020654,5.271463698,14.36053467,392.4942016
85,2013,EM16,172,1054,4.559995718,11.67257838,1723.921095,9.359306535,2.860842021,0.921695765,22.07276705,17.08860065,14.87736596,9.851639334,5.453615182,22.1908424,402.4376687
86,2015,EM16,221,1082,4.636086622,17.25211152,1774.009005,12.25439535,4.567229422,1.945304314,22.0820375,17.85551926,13.54944994,9.70323877,6.334014021,16.69945776,400.7748816
87,2016,EM16,205,1059,4.573896153,19.3752503,2279.268079,10.64309583,30.83551735,2.276397624,22.20333203,18.08368776,15.37533447,9.788846715,6.607241248,30.93638091,418.1676351
88,2011,EM17,106,844,4.581017335,4.787559516,1362.943933,11.30184618,14.07921919,0.461071636,21.30184655,18.22482892,17.0684274,9.032407649,6.43520929,19.54684239,413.6781098
89,2012,EM17,109,857,4.558778088,4.285348239,1414.462889,10.48887125,19.43277327,0.375107392,21.14482994,19.08658024,17.1680211,8.814955394,6.283416387,17.91976546,403.568364
90,2013,EM17,114,904,4.286826041,4.443484533,1665.571493,7.743751399,-4.004918763,0.44073179,20.84522089,19.67460376,19.25948884,9.272473324,6.72867557,18.63161161,416.9371726
91,2014,EM17,141,909,4.410654813,4.446887851,1765.928744,8.248268483,22.15458522,0.548853142,20.6948263,20.27326303,21.15176918,9.009491372,7.437042453,19.24176546,425.417387
92,2016,EM17,111,968,4.208303967,8.174436837,1590.589046,8.671538959,29.64054549,0.671486104,20.57899523,21.03846757,20.78659227,9.523845707,7.528118195,15.17407313,472.3079845
93,2011,EM18,206,1089,4.9571647,7.595879693,1829.095261,13.50924473,14.7873205,0.725575741,20.20378916,18.98474596,21.45055028,9.076019244,6.313774968,16.49607314,338.0878063
94,2012,EM18,197,1108,5.615026882,8.007114797,1867.947802,12.48539234,21.59274485,0.593747647,20.16126987,19.67395479,19.85705105,9.375142285,6.354253075,28.49576551,351.5896379
95,2013,EM18,204,1104,4.611723348,8.872976644,2006.895545,9.405239538,15.88987427,0.751432253,19.98166156,20.09785254,20.55420697,10.79706197,6.485806925,31.64822707,348.5633653
96,2014,EM18,194,1132,4.660030122,11.6279486,1878.308837,9.909302099,34.73220167,1.075417336,19.88178854,20.56084406,27.8245472,10.67763485,6.475687398,23.81791933,364.1935644
97,2015,EM18,180,1095,4.720737682,12.86902261,1919.742324,11.70551528,7.498585275,1.360289746,19.74119622,20.94521242,31.80829527,9.543329591,6.475687398,23.51284241,354.1835858
98,2017,EM18,246,1245,4.622174732,18.75909261,1805.060677,8.967272489,31.39491118,2.157249251,19.6325436,21.39218137,16.07249038,8.738635104,7.123337119,22.39422702,350.2261524
99,2011,EM19,159,836,4.990334308,5.481718689,2006.781675,13.30341068,22.74882795,0.514005194,19.5474257,20.8174316,22.6456747,8.613453676,5.989950107,23.20776548,376.664468
100,2012,EM19,158,810,4.906558279,5.44854925,1980.454784,12.57863242,19.23673652,0.49183845,19.50886054,21.65107048,30.01560864,9.131543264,5.585169031,30.02115014,371.1772704
101,2013,EM19,138,899,4.016007711,4.889037383,1860.155619,9.763101741,3.37671094,0.487877467,19.27011898,22.24804161,24.63754874,10.06838492,5.372658967,21.58068855,368.0844863
102,2015,EM19,162,941,4.24334177,6.4779809,1556.628427,12.55675173,14.80850988,1.081753642,19.0896725,23.13293754,20.78659227,9.213415956,6.263177333,27.78391935,394.1569887
103,2016,EM19,169,952,4.377116661,7.355542336,1662.042655,12.02318563,20.99332543,1.3351043,19.11428135,23.51129462,23.90719493,8.300096295,6.141743011,24.93653472,381.5863179
104,2011,EM20,130,666,5.440306517,19.84726847,1492.522816,8.594818365,17.43099305,1.004181616,22.78714395,13.46544845,18.06436442,9.412898619,6.020308688,24.02130395,319.4313345
105,2013,EM20,130,679,4.566399406,14.55493577,1903.992582,7.912480757,20.86257159,1.222533027,23.16711174,13.83701168,16.57045889,9.262882811,5.534571397,27.37715012,365.4905384
106,2014,EM20,170,738,4.958921175,20.75319712,2506.869687,8.107596361,27.67472847,1.75689661,23.35578994,13.8765258,13.18427303,8.885117566,5.949472,23.81791933,354.6491662
107,2015,EM20,154,749,4.958792178,25.27200711,2185.700996,11.29535795,26.60549098,2.009092862,23.57304909,13.92718121,18.89431193,8.175520584,6.283416387,24.12299626,368.9491356
108,2016,EM20,181,778,4.983777368,23.37963071,2338.075455,10.3473623,22.61438746,2.085160162,23.78992143,13.95481172,18.32994762,9.32345447,6.72867557,26.66530396,361.3668263
109,2017,EM20,156,738,5.027397104,25.90648477,3042.860308,7.981494055,29.10988492,2.288675379,23.81686689,13.90243615,16.67005259,8.828079254,7.02214185,24.52976549,369.9468079
110,2011,EM21,505,2585,5.228645198,16.74639146,2070.608007,14.41261734,23.93413817,1.13733045,22.40194713,15.0894546,22.6456747,9.937146326,4.805965461,41.41068866,367.8849519
111,2013,EM21,565,2715,4.886382048,13.78134062,2247.65219,12.6602745,14.41244498,1.231443456,22.48758957,15.62615799,21.05217547,10.09352216,4.957758364,40.19038096,394.9218708
112,2014,EM21,604,2900,4.726499023,14.59986067,2183.522908,10.51794792,19.05516016,1.590710907,22.59516896,15.832382,20.05623846,9.963494997,5.119670794,40.39376557,416.371825
113,2015,EM21,675,2941,4.882458567,18.37667667,2330.332128,14.22721931,10.97668969,2.153790751,22.63241352,15.91834401,20.35501956,9.0707697,5.06907316,39.27515018,400.4090684
114,2016,EM21,709,3064,4.920456365,18.62944509,2286.323784,13.00896407,20.41354928,2.38206194,22.65005938,15.96455283,23.07724741,11.03813718,5.281583225,30.32622706,416.8374054
115,2017,EM21,740,3225,5.01430215,19.82616759,2280.873798,10.64309583,28.35546154,2.329575747,22.71354152,16.07750346,24.47155924,10.08554689,5.342300386,38.97007326,433.3322538
116,2011,EM22,105,673,4.302125772,5.96605479,1939.399226,13.99645249,12.05274984,0.414629494,18.58863665,22.18796279,18.06436442,7.6649015,7.457281507,21.17391932,364.4596104
117,2012,EM22,97,642,4.791014404,4.330818461,1789.781263,15.41849135,25.00888439,0.427957073,18.4570242,23.21856033,27.8245472,7.122886107,7.396564345,12.73345774,372.4742444
118,2014,EM22,85,689,4.050091799,5.876128406,2092.377585,11.98901298,39.47842437,0.620368311,17.8042631,24.62782149,21.45055028,7.738697971,7.872182109,32.97022707,349.760572
119,2015,EM22,90,611,4.079928733,6.277599405,2069.872475,12.23307715,12.6250613,1.078325794,17.58613661,25.31225336,12.75270032,7.317523037,8.600788045,19.14007315,374.2700545
120,2016,EM22,91,672,4.239407042,6.522361382,1878.957545,10.74167367,29.06016525,1.010378598,17.27776195,25.85663388,16.8028442,7.833391664,7.821584475,26.76699627,403.3688295
